Dia Real Mm_10 Mm_50
51 0.56 0.57 0.50
52 0.56 0.58 0.50
53 0.55 0.58 0.51
54 0.55 0.57 0.51
55 0.54 0.57 0.51
56 0.53 0.56 0.51
57 0.51 0.56 0.51
58 0.50 0.55 0.52
59 0.51 0.54 0.52
60 0.51 0.54 0.52
61 0.52 0.53 0.52
62 0.52 0.53 0.52
63 0.50 0.52 0.52
64 0.51 0.52 0.53
65 0.49 0.51 0.53
66 0.50 0.51 0.53
67 0.49 0.51 0.53
68 0.50 0.51 0.53
69 0.48 0.51 0.53
70 0.48 0.50 0.53
71 0.47 0.50 0.53
72 0.46 0.49 0.53
73 0.46 0.49 0.53
74 0.45 0.48 0.53
75 0.46 0.48 0.53
76 0.46 0.47 0.53
77 0.45 0.47 0.53
78 0.46 0.47 0.52
79 0.45 0.46 0.52
80 0.44 0.46 0.52
81 0.44 0.46 0.52
82 0.46 0.45 0.52
83 0.44 0.45 0.52
84 0.43 0.45 0.51
85 0.42 0.45 0.51
86 0.44 0.45 0.51
87 0.42 0.44 0.51
88 0.43 0.44 0.51
89 0.43 0.44 0.50
90 0.42 0.43 0.50
91 0.43 0.43 0.50
92 0.41 0.43 0.50
93 0.40 0.43 0.49
94 0.39 0.42 0.49
95 0.38 0.42 0.49
96 0.37 0.42 0.48
97 0.32 0.41 0.48
98 0.31 0.40 0.47
99 0.29 0.39 0.47
100 0.29 0.37 0.46
